gamma	g3f	g3D	Nq1	gq1	dq1	Nq2	gq2	dq2	p_10	p_11	p_12	rep
0	0	0	0	0	0	0	0	0	0	1.38E-02	1.19E-02	227
0	0	0	0	0	0	0	0	0	0	1.75E-02	9.50E-03	228
0	0	0	0	0	0	0	0	0	0	1.60E-02	1.09E-02	229
0	0	0	0	0	0	0	0	0	0	1.70E-02	9.18E-03	230
0	0	0	0	0	0	0	0	0	0	1.45E-02	1.06E-02	231
0	0	0	0	0	0	0	0	0	0	1.45E-02	9.97E-03	232
0	0	0	0	0	0	0	0	0	0	1.76E-02	9.05E-03	233
0	0	0	0	0	0	0	0	0	0	1.49E-02	1.09E-02	234
0	0	0	0	0	0	0	0	0	0	1.58E-02	9.62E-03	235
0	0	0	0	0	0	0	0	0	0	1.56E-02	1.02E-02	236
0	0	0	0	0	0	0	0	0	0	1.09E-02	1.07E-02	237
0	0	0	0	0	0	0	0	0	0	1.22E-02	9.49E-03	238
0	0	0	0	0	0	0	0	0	0	1.61E-02	9.70E-03	239
0	0	0	0	0	0	0	0	0	0	1.44E-02	9.52E-03	240
0	0	0	0	0	0	0	0	0	0	1.83E-02	9.34E-03	241
0	0	0	0	0	0	0	0	0	0	1.49E-02	1.01E-02	242
0	0	0	0	0	0	0	0	0	0	1.37E-02	9.30E-03	243
0	0	0	0	0	0	0	0	0	0	1.67E-02	1.08E-02	244
0	0	0	0	0	0	0	0	0	0	1.60E-02	8.97E-03	245
0	0	0	0	0	0	0	0	0	0	2.06E-02	8.65E-03	246
0	0	0	0	0	0	0	0	0	0	1.77E-02	8.90E-03	247
0	0	0	0	0	0	0	0	0	0	2.03E-02	8.79E-03	248
0	0	0	0	0	0	0	0	0	0	1.67E-02	8.58E-03	249
0	0	0	0	0	0	0	0	0	0	1.63E-02	9.26E-03	250
0	0	0	0	0	0	0	0	0	0	1.50E-02	1.04E-02	251
0	0	0	0	0	0	0	0	0	0	1.96E-02	1.04E-02	252
