	rep	chi2	aN	bN	g2A	a2	g2B	B2
79	79	162.873	1.8838669079206699E-002	7.4323778152107084E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
80	80	202.126	1.4910688686908535E-002	9.7181826644537062E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
81	81	207.364	1.9704444455964990E-002	9.0277753505022609E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
82	82	193.583	1.3008592134970451E-002	1.0070560420086083E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
83	83	180.459	1.4073952207212997E-002	1.0051904737053113E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
84	84	197.693	1.5976768311503950E-002	9.7202418629000059E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
85	85	189.321	1.5962775594044742E-002	9.4366517382907106E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
86	86	198.270	1.7927960119810488E-002	9.7674006929705723E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
87	87	200.092	1.8247204606441941E-002	9.3078920970710230E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
88	88	178.650	1.1910277927283275E-002	1.0379319992593387E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
89	89	193.174	1.8885985026297819E-002	9.4796771935073271E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
90	90	216.995	1.7428440665588976E-002	8.6722671589659628E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
91	91	210.980	1.3011963828560555E-002	9.5773652935544212E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
92	92	185.361	2.3629973000172541E-002	8.7346675493372231E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
93	93	159.992	1.7472958240289591E-002	9.7061716272064877E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
94	94	190.922	1.7427865747328228E-002	1.0322169165892389E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
95	95	198.947	1.9322350706173358E-002	9.3711360174160499E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
96	96	215.288	9.7339135825359191E-003	9.7136643816717744E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
97	97	248.507	2.4994401701844485E-002	7.7506876076034320E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
98	98	186.163	2.1641712389709425E-002	8.3848379744351151E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
99	99	216.013	1.9681568975858627E-002	9.7165809840511902E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
100	100	164.686	1.4024951872422628E-002	1.0132718159074336E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
101	101	194.671	1.8624089768673469E-002	9.0368770027756742E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
102	102	181.021	1.6898194210171955E-002	9.9820946311433359E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
103	103	170.426	1.8309743640981119E-002	8.5140148634611501E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
104	104	193.591	2.0771730397456625E-002	1.0087213548084499E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
105	105	232.460	1.5430315660504498E-002	9.2928819568093984E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
106	106	154.505	1.2251756189960245E-002	1.0250574942342147E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
107	107	215.785	1.4506784076377788E-002	9.6680224984328558E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
108	108	190.205	1.7591601686708633E-002	9.5598250941727261E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
109	109	225.247	1.2838649238116645E-002	9.7158668119817146E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
110	110	197.134	1.9662602641047605E-002	8.3517049280786085E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
111	111	172.292	1.5969019375343507E-002	1.0882680254441154E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
112	112	172.164	1.7007064986443943E-002	9.7280154453088241E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
113	113	189.702	1.2097627523334167E-002	1.0263329141142502E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
114	114	174.876	1.3676694488042374E-002	1.1302654011940444E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
115	115	172.852	1.8622715876339138E-002	8.6930671013735680E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
116	116	198.792	1.7408047334087628E-002	1.0216087589956499E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
117	117	162.058	1.3924029361075549E-002	9.4940103971543691E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
118	118	183.210	1.2253351805549206E-002	1.0578597217388547E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
119	119	188.786	1.1039560327094688E-002	1.0495376748561581E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
120	120	169.201	1.1539141657640056E-002	1.1496272130350524E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
121	121	178.976	1.4770380720907778E-002	1.1053828312046467E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
122	122	199.234	1.5430320185272586E-002	9.7603333157265312E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
123	123	211.037	2.0049618251442899E-002	8.7340937365570082E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
